央视频道,#genre#
中国教育CETV4,http://101.74.31.149:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育CETV4,http://101.74.31.45:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育CETV4,http://101.74.31.116:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
武汉5文体,http://59.173.243.210:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV6+,http://39.164.223.174:7799/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
武汉6外语,http://59.173.243.210:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CETV,http://116.233.34.25:7777/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://116.233.34.25:7777/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://59.173.183.242:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN纪录,http://113.218.231.17:8081/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
ICS,http://116.233.34.25:7777/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
七彩戏剧,http://116.233.34.25:7777/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
上海娱乐,http://210.22.75.86:9901/tsfile/live/0107_5.m3u8?key=txiptv&playlive=1&authid=0
上海教育台,http://116.233.34.25:7777/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
上海电视剧,http://210.22.75.86:9901/tsfile/live/0107_2.m3u8?key=txiptv&playlive=1&authid=0
上海都市,http://222.71.95.178:9901/tsfile/live/0001_18.m3u8?key=txiptv&playlive=1&authid=0
东奥纪实,http://123.138.216.44:9902/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://222.71.95.178:9901/tsfile/live/0001_19.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://116.233.34.25:7777/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
东方电影,http://210.22.75.86:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://116.233.34.25:7777/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://121.19.134.132:808/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育,http://113.57.20.158:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
乡村,http://39.164.223.174:7799/tsfile/live/0139_12.m3u8?key=txiptv&playlive=1&authid=0
乡村,http://39.164.202.90:8899/tsfile/live/0139_12.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://210.22.75.86:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://116.233.34.25:7777/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
人文纪实,http://39.164.223.174:7799/tsfile/live/0017_12.m3u8?key=txiptv&playlive=1&authid=0
人文纪实,http://39.164.202.90:8899/tsfile/live/0017_13.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://171.13.174.251:20443/tsfile/live/0139_14.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://39.164.223.174:7799/tsfile/live/0139_14.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://113.218.231.17:8081/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://124.94.193.136:9902/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://14.204.12.100:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
保定公共,http://121.19.134.132:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共,http://121.19.134.125:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
保定新闻综合,http://121.19.134.132:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
